antecedente;consecuente;items_antecedente;items_consecuente;soporte_antecedente;soporte_consecuente;soporte;confianza;lift;leverage;conviccion;App
['transferir'];['dejar'];1;1;0,06389776357827476;0,09158679446219382;0,02023429179978701;0,3166666666666667;3,4575581395348842;0,014382100460349705;1,3293851788358138;Banco Ripley
['rápido'];['fácil'];1;1;0,07561235356762513;0,06815761448349308;0,01810436634717785;0,23943661971830987;3,5129841549295775;0,012950808702526084;1,2252001735494813;Banco Ripley
['ingresar'];['app'];1;1;0,0617678381256656;0,14696485623003194;0,01810436634717785;0,2931034482758621;1,994377811094453;0,009026664897399518;1,2067326424062963;Banco Ripley
['app'];['ingresar'];1;1;0,14696485623003194;0,0617678381256656;0,01810436634717785;0,12318840579710146;1,9943778110944528;0,009026664897399518;1,070049903625274;Banco Ripley
['problema'];['app'];1;1;0,08839190628328009;0,14696485623003194;0,01810436634717785;0,20481927710843373;1,393661602933473;0,005113862548357134;1,0727563171652628;Banco Ripley
['app'];['problema'];1;1;0,14696485623003194;0,08839190628328009;0,01810436634717785;0,12318840579710146;1,393661602933473;0,005113862548357134;1,0396852639083252;Banco Ripley
['banco'];['problema'];1;1;0,0979765708200213;0,08839190628328009;0,01810436634717785;0,1847826086956522;2,0904924044002096;0,009444030481297373;1,1182392616258432;Banco Ripley
['fácil'];['rápido'];1;1;0,06815761448349308;0,07561235356762513;0,01810436634717785;0,265625;3,5129841549295775;0,012950808702526084;1,2587406249291913;Banco Ripley
['problema'];['banco'];1;1;0,08839190628328009;0,0979765708200213;0,01810436634717785;0,20481927710843373;2,0904924044002096;0,009444030481297373;1,1343627973020944;Banco Ripley
['error'];['tarjeta'];1;1;0,06922257720979766;0,09158679446219382;0,01810436634717785;0,26153846153846155;2,8556350626118068;0,01176449239612077;1,2301428824991123;Banco Ripley
['tarjeta'];['error'];1;1;0,09158679446219382;0,06922257720979766;0,01810436634717785;0,19767441860465115;2,8556350626118068;0,01176449239612077;1,160099396521122;Banco Ripley
['banco'];['transferir'];1;1;0,0979765708200213;0,06389776357827476;0,01703940362087327;0,1739130434782609;2,721739130434783;0,010778919862405457;1,133176391457878;Banco Ripley
['dejar'];['tarjeta'];1;1;0,09158679446219382;0,09158679446219382;0,01703940362087327;0,186046511627907;2,0313683071930777;0,008651262701013135;1,1160505096607332;Banco Ripley
['tarjeta'];['dato'];1;1;0,09158679446219382;0,0362087326943557;0,01703940362087327;0,186046511627907;5,1381668946648436;0,013723161861858797;1,1840864141183631;Banco Ripley
['dato'];['tarjeta'];1;1;0,0362087326943557;0,09158679446219382;0,01703940362087327;0,4705882352941177;5,1381668946648436;0,013723161861858797;1,7158916104603008;Banco Ripley
['problema'];['dejar'];1;1;0,08839190628328009;0,09158679446219382;0,01703940362087327;0,1927710843373494;2,104791258055478;0,008943872267984999;1,1253477023826552;Banco Ripley
['error'];['app'];1;1;0,06922257720979766;0,14696485623003194;0,01703940362087327;0,24615384615384617;1,6749163879598663;0,006866117513363072;1,1315772315315902;Banco Ripley
['app'];['error'];1;1;0,14696485623003194;0,06922257720979766;0,01703940362087327;0,11594202898550726;1,6749163879598663;0,006866117513363072;1,0528465929921962;Banco Ripley
['pagar'];['app'];1;1;0,09904153354632587;0,14696485623003194;0,01703940362087327;0,17204301075268819;1,1706404862085087;0,0024837788824356027;1,0302891996182733;Banco Ripley
['app'];['pagar'];1;1;0,14696485623003194;0,09904153354632587;0,01703940362087327;0,11594202898550726;1,170640486208509;0,0024837788824356027;1,0191169538574347;Banco Ripley
['error'];['salir'];1;1;0,06922257720979766;0,04046858359957402;0,01703940362087327;0,24615384615384617;6,082591093117409;0,014238063968080607;1,2728477972658712;Banco Ripley
['salir'];['error'];1;1;0,04046858359957402;0,06922257720979766;0,01703940362087327;0,4210526315789474;6,08259109311741;0,014238063968080607;1,607706457546713;Banco Ripley
['dejar'];['problema'];1;1;0,09158679446219382;0,08839190628328009;0,01703940362087327;0,186046511627907;2,104791258055478;0,008943872267984999;1,1199756579948272;Banco Ripley
['tarjeta'];['dejar'];1;1;0,09158679446219382;0,09158679446219382;0,01703940362087327;0,186046511627907;2,0313683071930777;0,008651262701013135;1,1160505096607332;Banco Ripley
['clave'];['dejar'];1;1;0,03407880724174654;0,09158679446219382;0,01703940362087327;0,5;5,459302325581396;0,013918234906506708;1,8168264110756123;Banco Ripley
['dejar'];['clave'];1;1;0,09158679446219382;0,03407880724174654;0,01703940362087327;0,186046511627907;5,459302325581396;0,013918234906506708;1,1867031796744256;Banco Ripley
['aplicación'];['blanco'];1;1;0,14909478168264112;0,07880724174653887;0,01703940362087327;0,11428571428571428;1,4501930501930502;0,0052896551176619365;1,0400563399635852;Banco Ripley
['transferir'];['banco'];1;1;0,06389776357827476;0,0979765708200213;0,01703940362087327;0,2666666666666667;2,7217391304347833;0,010778919862405457;1,2300319488817892;Banco Ripley
['blanco'];['aplicación'];1;1;0,07880724174653887;0,14909478168264112;0,01703940362087327;0,21621621621621623;1,4501930501930502;0,0052896551176619365;1,0856376923359408;Banco Ripley
['tarjeta'];['pagar'];1;1;0,09158679446219382;0,09904153354632587;0,01597444089456869;0,1744186046511628;1,7610652663165793;0,006903544318440867;1,0913018044368448;Banco Ripley
['pagar'];['tarjeta'];1;1;0,09904153354632587;0,09158679446219382;0,01597444089456869;0,16129032258064516;1,7610652663165791;0,006903544318440867;1,083108052756615;Banco Ripley
['tarjeta'];['opción'];1;1;0,09158679446219382;0,05005324813631523;0,01597444089456869;0,1744186046511628;3,4846610588817417;0,0113902243453428;1,1506397276095337;Banco Ripley
